product,deal,price,units,unit_price,ounces
"pepsi 10-pack, 7.5-oz. cans. bundaberg 4-pack, 12.7-oz. starbucks 4-pack, 9.5-oz.",,5,1,5.0,
lay's potato chips or poppables 5 to 8-oz. smartfood popcorn 5 to 10-oz. cheetos 7 to 8.5-oz.,,5,1,2.5,
woodbridge chardonnay or cabernet sauvignon,,5,1,5.0,
debi lilly design rose mini chic bouquet,,5,1,5.0,
signature farms® unsalted walnut halves & pieces,,5,1,5.0,
bard valley dates,,6.99,1,6.99,
tortilla chips,,4.49,1,4.49,
la mexicana mild salsa,,4.99,1,4.99,
nature's own bread,,3.99,1,3.99,
hostess multi-pack,,4.99,1,4.99,
meat and seafood meal deal,,20,4,5.0,
trans ocean crab classic,,5,1,2.5,
bar-s classic franks,,1.79,1,1.79,
hillshire snacking plate 2.76-oz. bistro bites or wheat cracker snack kit 2.8-oz.,,3.99,1,3.99,
hormel natural choice lunchmeat,,5.49,1,5.49,
johnsonville party pack beddar with cheddar sausage,,10.49,1,10.49,
fage greek yogurt,,5,1,1.25,
philadelphia cream cheese,earn 4x points,3.99,1,3.99,
blue diamond almond breeze milk,earn 2x points,5.49,1,5.49,
florida's natural orange or grapefruit juice,,7,1,3.5,
starbucks iced coffee,,6.99,1,6.99,
daisy cottage cheese,,3.99,1,3.99,
daisy sour cream,,3.49,1,3.49,
ore-ida just crack an egg,,5.00,1,2.5,
clover butter,,5.99,1,5.99,
sargento string or stick cheese,earn 2x points,4.99,1,4.99,
kerrygold butter,,5.29,1,5.29,
petit pot pudding,,3.99,1,3.99,
totino's pizza rolls,,10.99,1,10.99,
biscoff novelties,,3.99,1,3.99,
bertolli dinner entrée,,8.99,1,8.99,
sandwich bros.,,7.49,1,7.49,
sambazon açaí,,6.99,1,6.99,
edwards single pie slices,,7,1,3.5,
alexia onion rings or potatoes,,4.99,1,4.99,
flav-r-pac vegetable stir fry,,6,1,3.0,
michelina's meal,,5,1,1.25,
totino's party pizza,,7,1,3.5,
smucker's uncrustables sandwiches,,4.49,1,4.49,
benihana japanese entrée,,5.99,1,5.99,
signature select® or o organics® coffee,,15.99,1,15.99,
bigelow tea,,6,1,3.0,
mott's apple juice,earn 2x points,2.99,1,2.99,
nutella hazelnut spread,,3.99,1,3.99,
swanson broth or stock,,4,1,2.0,
prego alfredo or pasta sauce,,8,1,4.0,
rice or pasta roni 4.6 to 7.2-oz. cheetos mac'n cheese 5.6 to 5.9-oz.,,5,1,1.25,
starkist tuna selects,,1.99,1,1.99,
signature select® white calrose rice,earn 4x points,6.99,1,6.99,
juanita's mexican style hominy,,5,1,2.5,
gimme seaweed snack,,10,1,1.0,
signature select® mayonnaise,earn 2x points,4.99,1,4.99,
briannas salad dressing,,4.49,1,4.49,
signature select® marshmallows,,4,1,2.0,
ghirardelli baking chips,,6.99,1,6.99,
open nature® granola,earn 2x points,7,1,3.5,
quaker chewy granola bars,,2.99,1,2.99,
quaker instant oatmeal,earn 2x points,5.99,1,5.99,
quest protein chips 1.1 - oz. bar 2.12-oz.,,5,1,2.5,
pepperidge farm goldfish crackers,earn 4x points,8.99,1,8.99,
signature select® tortilla chips,,4,1,2.0,
quaker rice crisps or thins,,2.49,2,2.49,
kinder kinderini cookies,,3.49,1,3.49,
lindt gold chocolate bunny,,4.49,1,4.49,
pepsi,,5,2,2.5,
smartwater,,5.00,1,1.67,
rockstar energy drink,,6,3,2.0,
glad trash bags,,23.99,1,23.99,
puffs facial tissue,,4,1,2.0,
signature select® designer tableware,earn 2x points,3.99,1,3.99,
palmolive ultra liquid dish detergent 32.5-oz. ajax dish soap 52-oz.,,3.99,1,3.99,
supreme source dry dog food,,20.99,1,20.99,
blue buffalo nudges dog treats,,14.99,1,14.99,
hartz delectable treats,,13.99,1,13.99,
arm & hammer cat litter,,9.99,1,9.99,
mars king size bar,,4.00,1,2.0,
nerds gummy clusters or trolli crawlers,,4.49,1,4.49,
life savers or skittles gummies,,5,1,2.5,
hershey's xl or cadbury candy bar,,2.99,1,2.99,
"easter melamine dinnerware, bowl or divided plate",,4,1,2.0,
hershey's share size candy,,5.49,1,5.49,
lindt lindor chocolate truffles,,6.49,1,6.49,
brach's easter jelly beans,,7,1,3.5,
hi-chew candy,,7.99,1,7.99,
hershey's party size candy,,13.99,1,13.99,
bendon coloring book,,5.49,1,5.49,
signature select® bubbles,,1,1,1.0,
signature select® chalk,,2.50,1,2.5,
nature's truth or signature care® vitamins,buy 1 get 1 free,,2,,
open nature® plant protein powder,,19.99,1,19.99,
gomacro,,5,1,2.5,
lärabar,,9.99,1,9.99,
muscle milk plant or pro series protein,,9.99,1,9.99,
rxbar,,9.99,1,9.99,
ensure max,,15.99,1,15.99,
clif multi-pack,,12.99,1,12.99,
"clif, luna or builders",,4,3,1.33,
ogx shampoo or conditioner,,9.99,1,9.99,
dove bar soap,,11.99,1,11.99,
signature care® hand soap,,3,1,1.5,
health essentials,earn 4x points over 150 participating items,,1,,
mrs. meyer's hand soap,,4.99,1,4.99,
therabreath oral rinse,,9.99,1,9.99,
carefree pantiliners,,4.99,1,4.99,
johnson & johnson baby care,earn 4x points,5.99,1,5.99,
e.l.f. cosmetics,,10.99,1,10.99,
aveeno body lotion,earn 4x points,9.99,1,9.99,
happy tot pouch,,5,1,1.67,
o organics® baby food pouch,,5.00,1,1.25,
"huggies little movers, little snugglers, snug & dry or overnites",earn 4x points,28.99,1,28.99,
neutrogena makeup remover wipes,earn 4x points,7.99,1,7.99,
mr. clean magic erasers,,6.99,1,6.99,
swiffer mopping or dusting refill,,11.99,1,11.99,
febreze air or plug warmer,,4.49,1,4.49,
listerine mouthwash,earn 4x points,7.99,1,7.99,
dawn 70-oz. dish soap,get 1 dawn 3-pack sponge free  dawn 70-oz. dish soap,,1,,
gain laundry detergent,free gain flings 16-ct.,15.99,1,15.99,
lysol disinfecting wipes or spray,,5.99,1,5.99,
children's tylenol or motrin pain relief,earn 4x points,10.99,1,10.99,
air wick refills,,5.99,1,5.99,
lysol air sanitizer,,6.99,1,6.99,
"clorox bathroom cleaner, disinfecting wipes or clean up",,5.49,1,5.49,
tylenol pain relief,earn 4x points,15.99,1,15.99,
signature select® easter paper goods,,3,1,1.5,
zyrtec allergy relief,earn 4x points,24.99,1,24.99,
